city,customer_id,month,royal_gala,fuji,granny_smith,golden_delicious,pink_lady,total
Berlin,EDEKA,January,78,87,67,81,50,364
Berlin,EDEKA,February,73,81,64,76,49,343
Berlin,EDEKA,March,70,76,62,70,52,329
Berlin,EDEKA,April,67,70,56,64,53,311
Berlin,EDEKA,May,64,64,50,59,56,294
Berlin,EDEKA,June,59,56,48,53,50,266
Berlin,EDEKA,July,56,53,45,48,45,246
Berlin,EDEKA,August,76,62,48,53,42,280
Berlin,EDEKA,September,98,73,53,70,49,343
Berlin,EDEKA,October,106,90,64,81,57,399
Berlin,EDEKA,November,95,98,70,84,59,406
Berlin,EDEKA,December,90,92,73,87,57,399
Berlin,LIDL,January,70,78,60,73,45,325
Berlin,LIDL,February,65,73,58,68,44,306
Berlin,LIDL,March,63,68,55,63,46,294
Berlin,LIDL,April,60,63,50,58,48,278
Berlin,LIDL,May,58,58,45,53,50,263
Berlin,LIDL,June,53,50,43,48,45,238
Berlin,LIDL,July,50,48,40,43,40,220
Berlin,LIDL,August,68,55,43,48,38,250
Berlin,LIDL,September,88,65,48,63,44,306
Berlin,LIDL,October,95,80,58,73,51,356
Berlin,LIDL,November,85,88,63,75,53,363
Berlin,LIDL,December,80,83,65,78,51,356
Berlin,REWE,January,50,56,43,52,32,234
Berlin,REWE,February,47,52,41,49,32,221
Berlin,REWE,March,45,49,40,45,33,212
Berlin,REWE,April,43,45,36,41,34,200
Berlin,REWE,May,41,41,32,38,36,189
Berlin,REWE,June,38,36,31,34,32,171
Berlin,REWE,July,36,34,29,31,29,158
Berlin,REWE,August,49,40,31,34,27,180
Berlin,REWE,September,63,47,34,45,32,221
Berlin,REWE,October,68,58,41,52,37,257
Berlin,REWE,November,61,63,45,54,38,261
Berlin,REWE,December,58,59,47,56,37,257
Hamburg,EDEKA,January,42,48,36,45,27,198
Hamburg,EDEKA,February,39,45,35,42,26,186
Hamburg,EDEKA,March,38,42,33,39,29,180
Hamburg,EDEKA,April,36,39,30,36,29,170
Hamburg,EDEKA,May,35,36,27,33,30,161
Hamburg,EDEKA,June,32,30,26,30,27,144
Hamburg,EDEKA,July,30,29,24,27,24,134
Hamburg,EDEKA,August,42,33,26,30,23,153
Hamburg,EDEKA,September,54,39,29,39,26,186
Hamburg,EDEKA,October,57,48,35,45,32,216
Hamburg,EDEKA,November,51,54,38,47,32,221
Hamburg,EDEKA,December,48,51,39,48,30,216
Hamburg,LIDL,January,34,38,29,36,22,158
Hamburg,LIDL,February,31,36,28,34,20,149
Hamburg,LIDL,March,30,34,26,31,23,144
Hamburg,LIDL,April,29,31,24,29,23,136
Hamburg,LIDL,May,28,29,22,26,24,128
Hamburg,LIDL,June,25,24,20,24,22,115
Hamburg,LIDL,July,24,23,19,22,19,107
Hamburg,LIDL,August,34,26,20,24,18,122
Hamburg,LIDL,September,43,31,23,31,20,149
Hamburg,LIDL,October,46,38,28,36,25,173
Hamburg,LIDL,November,41,43,30,37,25,176
Hamburg,LIDL,December,38,41,31,38,24,173
Hamburg,REWE,January,24,27,20,26,15,112
Hamburg,REWE,February,22,26,20,24,14,105
Hamburg,REWE,March,21,24,19,22,16,102
Hamburg,REWE,April,20,22,17,20,16,96
Hamburg,REWE,May,20,20,15,19,17,91
Hamburg,REWE,June,18,17,14,17,15,82
Hamburg,REWE,July,17,16,14,15,14,76
Hamburg,REWE,August,24,19,14,17,13,87
Hamburg,REWE,September,31,22,16,22,14,105
Hamburg,REWE,October,32,27,20,26,18,122
Hamburg,REWE,November,29,31,21,26,18,125
Hamburg,REWE,December,27,29,22,27,17,122
Munich,EDEKA,January,34,40,29,37,23,164
Munich,EDEKA,February,33,37,28,34,22,153
Munich,EDEKA,March,31,34,26,33,23,147
Munich,EDEKA,April,29,31,25,29,25,140
Munich,EDEKA,May,28,29,22,26,26,132
Munich,EDEKA,June,26,25,20,25,23,119
Munich,EDEKA,July,25,23,19,22,22,110
Munich,EDEKA,August,34,28,20,25,20,127
Munich,EDEKA,September,43,33,23,33,22,153
Munich,EDEKA,October,48,40,28,37,26,180
Munich,EDEKA,November,43,45,31,39,28,186
Munich,EDEKA,December,40,42,33,40,26,181
Munich,LIDL,January,25,30,22,28,17,122
Munich,LIDL,February,24,28,21,25,16,114
Munich,LIDL,March,23,25,20,24,17,109
Munich,LIDL,April,22,23,18,22,18,104
Munich,LIDL,May,21,22,16,20,20,98
Munich,LIDL,June,20,18,15,18,17,89
Munich,LIDL,July,18,17,14,16,16,82
Munich,LIDL,August,25,21,15,18,15,94
Munich,LIDL,September,32,24,17,24,16,114
Munich,LIDL,October,36,30,21,28,20,133
Munich,LIDL,November,32,33,23,29,21,138
Munich,LIDL,December,30,31,24,30,20,135
Munich,REWE,January,22,26,19,24,15,106
Munich,REWE,February,21,24,18,22,14,99
Munich,REWE,March,20,22,17,21,15,95
Munich,REWE,April,19,20,16,19,16,90
Munich,REWE,May,18,19,14,17,17,85
Munich,REWE,June,17,16,13,16,15,77
Munich,REWE,July,16,15,12,14,14,71
Munich,REWE,August,22,18,13,16,13,82
Munich,REWE,September,28,21,15,21,14,99
Munich,REWE,October,31,26,18,24,17,116
Munich,REWE,November,28,29,20,25,18,120
Munich,REWE,December,26,27,21,26,17,117
